tld,provider,amount
help,openprovider,49.98
hi.cn,openprovider,33.26
hiphop,openprovider,35
hiv,openprovider,358.36
hk,openprovider,54.02
hk.cn,openprovider,33.26
hl.cn,openprovider,33.26
hm,openprovider,88
hn,openprovider,150
hn.cn,openprovider,33.26
hockey,openprovider,59
holdings,openprovider,65
holiday,openprovider,65
homes,openprovider,18.98
horse,openprovider,48.98
hospital,openprovider,58
host,openprovider,149.91
hosting,openprovider,600.36
hotel.tz,openprovider,345.13
house,openprovider,49
how,openprovider,40.36
hr,openprovider,181.64
ht,openprovider,180.5
hu,openprovider,29.06
hu.com,openprovider,55.7
hu.net,openprovider,55.7
i.ng,openprovider,181.64
icu,openprovider,25
id,openprovider,169
id.au,openprovider,13.67
id.lv,openprovider,27.79
idv.hk,openprovider,47.27
idv.tw,openprovider,63.99
ie,openprovider,60.54
iglesias-carbonia.it,openprovider,19.31
iglesiascarbonia.it,openprovider,19.31
ilawa.pl,openprovider,34.17
im,openprovider,63.25
im.it,openprovider,19.31
immo,openprovider,40
immobilien,openprovider,43
imperia.it,openprovider,19.31
in,openprovider,11.84
in.net,openprovider,21.95
in.th,openprovider,119.89
in.ua,openprovider,129
inc,openprovider,2400
ind.br,openprovider,34.72
ind.gt,openprovider,99.3
ind.in,openprovider,11.84
industries,openprovider,51.5
inf.mk,openprovider,51
info,openprovider,37.15
info.au,openprovider,13.67
info.bi,openprovider,94.46
info.bj,openprovider,39.96
info.ec,openprovider,49.95
info.fj,openprovider,294
info.ht,openprovider,57
info.hu,openprovider,98.09
info.in,openprovider,11.84
info.ke,openprovider,171.96
info.pl,openprovider,42.71
info.pr,openprovider,129
info.ro,openprovider,48.44
info.tr,openprovider,37
info.tt,openprovider,163.48
info.tz,openprovider,90.82
info.vn,openprovider,145
ing,openprovider,17
ink,openprovider,39.98
institute,openprovider,32
insurance,openprovider,1567.9
insure,openprovider,69
int.in,openprovider,11.84
int.vn,openprovider,145
international,openprovider,36
internet.in,openprovider,11.84
investments,openprovider,125
io,openprovider,85
io.in,openprovider,11.84
iq,openprovider,652
ir,openprovider,72
irish,openprovider,32
is,openprovider,90.82
is.it,openprovider,19.31
isernia.it,openprovider,19.31
isla.pr,openprovider,294
ist,openprovider,24.36
istanbul,openprovider,30.36
it,openprovider,19.36
it.ao,openprovider,466.22
it.com,openprovider,31.9
it.pr,openprovider,294
jampa.br,openprovider,41.11
jaworzno.pl,openprovider,34.17
je,openprovider,230.08
jelenia-gora.pl,openprovider,34.17
jetzt,openprovider,28
jewelry,openprovider,65
jgora.pl,openprovider,34.17
jl.cn,openprovider,33.26
jo,openprovider,726.58
jobs,openprovider,199
jobs.tt,openprovider,163.48
joburg,openprovider,19.98
jp,openprovider,149
jp.net,openprovider,21.95
jpn.com,openprovider,60
js.cn,openprovider,33.26
juegos,openprovider,600.36
jur.pro,openprovider,226
jx.cn,openprovider,33.26
k12.ec,openprovider,39.95
kalisz.pl,openprovider,34.17
karpacz.pl,openprovider,34.17
kartuzy.pl,openprovider,34.17
kaszuby.pl,openprovider,34.17
katowice.pl,openprovider,34.17
kaufen,openprovider,46
kazimierz-dolny.pl,openprovider,34.17
ke,openprovider,198
kepno.pl,openprovider,34.17
ketrzyn.pl,openprovider,34.17
kg,openprovider,160
ki,openprovider,1560.15
kids,openprovider,33
kiev.ua,openprovider,40
kim,openprovider,21
kitchen,openprovider,65
kiwi,openprovider,29.96
kiwi.nz,openprovider,26.09
klodzko.pl,openprovider,34.17
km,openprovider,387.51
kn,openprovider,557.04
kobierzyce.pl,openprovider,34.17
koeln,openprovider,30.27
kolobrzeg.pl,openprovider,34.17
konin.pl,openprovider,34.17
konskowola.pl,openprovider,34.17
kr,openprovider,72
kr.com,openprovider,35
kr.it,openprovider,19.31
krd,openprovider,100.36
kutno.pl,openprovider,34.17
ky,openprovider,96.59
kyoto,openprovider,75.19
kz,openprovider,227.66
l.lc,openprovider,29
la,openprovider,56
la-spezia.it,openprovider,19.31
land,openprovider,47
lapy.pl,openprovider,34.17
laquila.it,openprovider,19.31
laspezia.it,openprovider,19.31
lat,openprovider,45.98
latina.it,openprovider,19.31
law,openprovider,159.98
law.pro,openprovider,222
lawyer,openprovider,62
laz.it,openprovider,19.31
lazio.it,openprovider,19.31
lc,openprovider,37
lc.it,openprovider,19.31
le.it,openprovider,19.31
lease,openprovider,80
lebork.pl,openprovider,34.17
lecce.it,openprovider,19.31
lecco.it,openprovider,19.31
legal,openprovider,69.99
legnica.pl,openprovider,34.17
lezajsk.pl,openprovider,34.17
lgbt,openprovider,75
li,openprovider,27.97
li.it,openprovider,19.31
life,openprovider,42
lifestyle,openprovider,45
lig.it,openprovider,19.31
lighting,openprovider,24.99
liguria.it,openprovider,19.31
limanowa.pl,openprovider,34.17
limited,openprovider,41
limo,openprovider,59
link,openprovider,18
live,openprovider,38
living,openprovider,45
livorno.it,openprovider,19.31
lk,openprovider,58.55
llc,openprovider,49
ln.cn,openprovider,33.26
lo.it,openprovider,19.31
loan,openprovider,33
loans,openprovider,119
lodi.it,openprovider,19.31
loj.ec,openprovider,39.95
