tld,provider,amount
id,openprovider,169
id.au,openprovider,13.73
id.lv,openprovider,27.75
idv.hk,openprovider,47.28
idv.tw,openprovider,63.99
ie,openprovider,60.44
iglesias-carbonia.it,openprovider,19.28
iglesiascarbonia.it,openprovider,19.28
ilawa.pl,openprovider,14.21
im,openprovider,63.45
im.it,openprovider,19.28
immo,openprovider,40
immobilien,openprovider,43
imperia.it,openprovider,19.28
in,openprovider,8.27
in.net,openprovider,21.95
in.th,openprovider,59.84
in.ua,openprovider,166.84
inc,openprovider,2400
ind.br,openprovider,34.59
ind.gt,openprovider,99.14
ind.in,openprovider,8.27
industries,openprovider,51.5
inf.mk,openprovider,51
info,openprovider,24.2
info.au,openprovider,20.6
info.bi,openprovider,125.73
info.bj,openprovider,48.36
info.ec,openprovider,39.95
info.fj,openprovider,294
info.ht,openprovider,57
info.hu,openprovider,97.93
info.in,openprovider,8.27
info.ke,openprovider,171.67
info.pl,openprovider,34.1
info.pr,openprovider,249
info.ro,openprovider,48.36
info.tr,openprovider,37
info.tt,openprovider,163.21
info.tz,openprovider,72.54
info.vn,openprovider,145
ing,openprovider,12
ink,openprovider,29.98
institute,openprovider,32
insurance,openprovider,1567.9
insure,openprovider,69
int.in,openprovider,8.27
int.vn,openprovider,145
international,openprovider,36
internet.in,openprovider,8.27
investments,openprovider,125
io,openprovider,70
io.in,openprovider,8.27
iq,openprovider,772
ir,openprovider,72
irish,openprovider,32
is,openprovider,96.72
is.it,openprovider,19.28
isernia.it,openprovider,19.28
isla.pr,openprovider,294
ist,openprovider,24.36
istanbul,openprovider,30.36
it,openprovider,6.03
it.ao,openprovider,342.14
it.com,openprovider,31.9
it.pr,openprovider,294
jampa.br,openprovider,40.95
jaworzno.pl,openprovider,14.21
je,openprovider,229.7
jelenia-gora.pl,openprovider,14.21
jetzt,openprovider,28
jewelry,openprovider,65
jgora.pl,openprovider,14.21
jl.cn,openprovider,33.26
jo,openprovider,2901.53
jobs,openprovider,199
jobs.tt,openprovider,163.21
joburg,openprovider,20.02
jp,openprovider,74.5
jp.net,openprovider,21.95
jpn.com,openprovider,60
js.cn,openprovider,33.26
juegos,openprovider,600.36
jur.pro,openprovider,222
jx.cn,openprovider,33.26
k12.ec,openprovider,39.95
kalisz.pl,openprovider,14.21
karpacz.pl,openprovider,14.21
kartuzy.pl,openprovider,14.21
kaszuby.pl,openprovider,14.21
katowice.pl,openprovider,14.21
kaufen,openprovider,46
kazimierz-dolny.pl,openprovider,14.21
ke,openprovider,198
kepno.pl,openprovider,14.21
ketrzyn.pl,openprovider,14.21
kg,openprovider,160
ki,openprovider,1566.43
kids,openprovider,25
kiev.ua,openprovider,114.85
kim,openprovider,21
kitchen,openprovider,65
kiwi,openprovider,30.21
kiwi.nz,openprovider,26.3
klodzko.pl,openprovider,14.21
km,openprovider,212.78
kn,openprovider,362.69
kobierzyce.pl,openprovider,14.21
koeln,openprovider,30.22
kolobrzeg.pl,openprovider,14.21
konin.pl,openprovider,14.21
konskowola.pl,openprovider,14.21
kr,openprovider,60
kr.com,openprovider,50
kr.it,openprovider,19.28
krd,openprovider,100.36
kutno.pl,openprovider,14.21
ky,openprovider,96.43
kyoto,openprovider,74.89
kz,openprovider,227.29
l.lc,openprovider,29
la,openprovider,52.5
la-spezia.it,openprovider,19.28
land,openprovider,47
lapy.pl,openprovider,14.21
laquila.it,openprovider,19.28
laspezia.it,openprovider,19.28
lat,openprovider,45.98
latina.it,openprovider,19.28
law,openprovider,159.98
law.pro,openprovider,222
lawyer,openprovider,62
laz.it,openprovider,19.28
lazio.it,openprovider,19.28
lc,openprovider,37
lc.it,openprovider,19.28
le.it,openprovider,19.28
lease,openprovider,80
lebork.pl,openprovider,14.21
lecce.it,openprovider,19.28
lecco.it,openprovider,19.28
legal,openprovider,69.99
legnica.pl,openprovider,14.21
lezajsk.pl,openprovider,14.21
lgbt,openprovider,75
li,openprovider,27.98
li.it,openprovider,19.28
life,openprovider,42
lifestyle,openprovider,45
lig.it,openprovider,19.28
lighting,openprovider,24.99
liguria.it,openprovider,19.28
limanowa.pl,openprovider,14.21
limited,openprovider,41
limo,openprovider,59
link,openprovider,18
live,openprovider,38
living,openprovider,45
livorno.it,openprovider,19.28
lk,openprovider,58.64
llc,openprovider,49
ln.cn,openprovider,33.26
lo.it,openprovider,19.28
loan,openprovider,33
loans,openprovider,119
lodi.it,openprovider,19.28
loj.ec,openprovider,29.95
lol,openprovider,45.98
lom.it,openprovider,19.28
lombardia.it,openprovider,19.28
lombardy.it,openprovider,19.28
lomza.pl,openprovider,14.21
london,openprovider,55.59
lotto,openprovider,1791
love,openprovider,39.98
lowicz.pl,openprovider,14.21
